"CellID","seurat_cluster.projected"
"s_008um_00517_00177-1","0"
"s_008um_00530_00156-1","1"
"s_008um_00530_00149-1","2"
"s_008um_00518_00145-1","0"
"s_008um_00602_00261-1","0"
"s_008um_00517_00274-1","0"
"s_008um_00608_00268-1","1"
"s_008um_00581_00210-1","2"
"s_008um_00587_00173-1","2"
"s_008um_00619_00237-1","0"
"s_008um_00614_00267-1","1"
"s_008um_00569_00261-1","0"
"s_008um_00619_00190-1","0"
"s_008um_00591_00136-1","2"
"s_008um_00560_00226-1","0"
"s_008um_00637_00201-1","0"
"s_008um_00543_00244-1","0"
"s_008um_00647_00251-1","1"
"s_008um_00640_00253-1","0"
"s_008um_00599_00212-1","1"
"s_008um_00633_00153-1","1"
"s_008um_00655_00185-1","1"
"s_008um_00571_00177-1","2"
"s_008um_00579_00191-1","1"
"s_008um_00647_00222-1","2"
"s_008um_00642_00216-1","1"
"s_008um_00586_00190-1","2"
"s_008um_00575_00191-1","1"
"s_008um_00624_00257-1","2"
"s_008um_00595_00258-1","0"
"s_008um_00546_00240-1","1"
"s_008um_00563_00151-1","0"
"s_008um_00539_00153-1","1"
"s_008um_00544_00135-1","1"
"s_008um_00534_00264-1","1"
"s_008um_00627_00236-1","0"
"s_008um_00614_00224-1","2"
"s_008um_00558_00168-1","0"
"s_008um_00580_00184-1","2"
"s_008um_00630_00206-1","0"
"s_008um_00518_00262-1","0"
"s_008um_00635_00236-1","1"
"s_008um_00609_00255-1","0"
"s_008um_00518_00184-1","0"
"s_008um_00534_00266-1","2"
"s_008um_00606_00195-1","2"
"s_008um_00654_00236-1","1"
"s_008um_00535_00163-1","1"
"s_008um_00589_00217-1","1"
"s_008um_00611_00225-1","0"
"s_008um_00567_00244-1","1"
"s_008um_00579_00158-1","1"
"s_008um_00619_00273-1","1"
"s_008um_00550_00192-1","0"
"s_008um_00623_00205-1","0"
"s_008um_00587_00212-1","2"
"s_008um_00604_00223-1","0"
"s_008um_00618_00197-1","1"
"s_008um_00587_00141-1","0"
"s_008um_00616_00235-1","0"
"s_008um_00529_00172-1","1"
"s_008um_00524_00243-1","2"
"s_008um_00581_00138-1","0"
"s_008um_00633_00262-1","1"
"s_008um_00618_00185-1","0"
"s_008um_00621_00213-1","0"
"s_008um_00644_00219-1","1"
"s_008um_00632_00259-1","2"
"s_008um_00536_00169-1","1"
"s_008um_00527_00256-1","0"
"s_008um_00617_00160-1","1"
"s_008um_00515_00184-1","0"
"s_008um_00624_00170-1","0"
"s_008um_00624_00160-1","1"
"s_008um_00643_00214-1","1"
"s_008um_00586_00233-1","0"
"s_008um_00629_00216-1","0"
"s_008um_00570_00260-1","0"
"s_008um_00586_00246-1","0"
"s_008um_00520_00222-1","0"
"s_008um_00586_00175-1","2"
